Recursion Count, Time
2,142597941
4,142218550
6,135625850
8,138981111
10,135567078
12,132427443
14,139473946
16,137073005
18,137796490
20,138376439
22,136246082
24,138149435
26,143188596
28,143147798
30,144686350
32,135060680
34,133120073
36,150001310
38,168826997
40,152853084
42,146822482
44,146834621
46,146563188
48,148782264
50,156880049
52,164667566
54,164223162
56,169928136
58,167759132
60,157203965
62,157724808
64,167823467
66,176954908
68,166796772
70,176414950
72,186892116
74,181686031
76,192470512
78,182752718
80,181894433
82,172696828
84,189210977
86,197730110
88,194458632
90,194812906
92,191784278
94,192253100
96,201082931
98,205414056
100,202315906
102,201067328
104,210958800
106,204850219
108,204830733
110,211834353
112,211380509
114,222382678
116,213546325
118,216286612
120,219191489
122,212667170
124,224681788
126,218235133
128,218634141
130,221614431
132,232849307
134,218736003
136,216388178
138,222867302
140,235927941
142,233584754
144,235273579
146,229858518
148,226497155
150,233292799
152,244127481
154,246148808
156,247832312
158,243176351
160,250114515
162,253837037
164,257924526
166,255362420
168,253139122
170,260398285
172,271572165
174,261126085
176,261922763
178,262058005
180,255326063
182,252766658
184,255503343
186,277119220
188,284784643
190,271834922
192,275644808
194,274412983
196,281407174
198,284686615
200,277327700
202,289005309
204,285763469
206,287842705
208,293365325
210,293625038
212,292011421
214,295802904
216,300210417
218,304007657
220,305623321
222,294322998
224,297156321
226,299085602
228,317527225
230,295746656
232,301103502
234,302355083
236,331170147
238,315762184
240,311140004
242,322972431
244,328567873
246,318897634
248,314679290
250,307510723
252,317803421
254,310198177
256,316139092
258,318550027
260,316865696
262,326656171
264,338478313
266,331910043
268,330613173
270,333688680
272,343443578
274,342976487
276,338318938
278,354023762
280,336755678
282,341784546
284,348661790
286,350331445
288,357340883
290,352415607
292,358066315
294,359777564
296,352670256
298,363299792
300,350984016
